:Time=1.667935422117E9;RotationMatrix=[0.14967805, -0.5668317, -0.81012243, 0.9173291, 0.3853337, -0.100127205, 0.36892274, -0.72816217, 0.57764715]
:Time=1.667935454298E9;RotationMatrix=[0.34128022, 0.58340824, -0.7369957, -0.9395376, 0.23527405, -0.24882747, 0.028228074, 0.7773551, 0.6284284]
execStepTime;accCounter;accTime;accX;accY;accZ;gyrCounter;gyrTime;gyrX;gyrY;gyrZ;speed;cadence;assistMode;accDuX;accDuZ;pressure;smartphoneAtmPressure;hubConnection;mountingAngle;manualCrashFire;crashFire;crashClass;rollDeg;pitchDeg;tipOverFeature;groundHitFeature;collisionFeature;rideFeature;standFeature;riderlessRollOverFeature;smartphoneDropOutFeature;userCrashFeedBack;gpsLat;gpsLong;gpsAccuracy;gpsTimeStamp;inVehicle;onBicycle;onFoot;still;unknown;tilting;walking;running
1.667935422117E9;15712;667935.520453866;-754;-17;303;15715;667935.517953866;-12363;-3937;8907;0.0;0;0;0;0;98247;98247;0;0;0;0;0;14.254467;1.1286994;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422129E9;15713;667935.5299836571;-736;20;402;15716;667935.527483657;-17333;-2003;6746;0.0;0;0;0;0;98247;98247;0;0;0;0;0;13.755995;0.6540214;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422134E9;15714;667935.5395134491;-819;24;533;15717;667935.537013449;-15994;-673;4934;0.0;0;0;0;0;98247;98247;0;0;0;0;0;13.136659;0.13240838;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422144E9;15715;667935.549043189;-916;-3;595;15718;667935.5465431891;-10595;-2467;5827;0.0;0;0;0;0;98247;98247;0;0;0;0;0;12.476182;-0.37931398;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422153E9;15716;667935.55857298;-944;-60;553;15719;667935.55607298;-5188;-5363;7918;0.0;0;0;0;0;98251;98251;0;0;0;0;0;11.851718;-0.82340837;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422198E9;15717;667935.568102772;-946;-65;490;15720;667935.565602772;-2992;-5704;8714;0.0;0;0;0;0;98251;98251;0;0;0;0;0;11.317906;-1.1564435;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422198E9;15718;667935.577632511;-1005;-23;456;15721;667935.5751325111;-4409;-4392;7008;0.0;0;0;0;0;98251;98251;0;0;0;0;0;10.890215;-1.3418822;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422198E9;15719;667935.587162303;-1008;-18;427;15722;667935.5846623031;-8670;-4199;6483;0.0;0;0;0;0;98251;98251;0;0;0;0;0;10.574527;-1.4236168;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422198E9;15720;667935.596692043;-904;-31;392;15723;667935.5941920431;-14472;-6308;7218;0.0;0;0;0;0;98251;98251;0;0;0;0;0;10.339808;-1.4461942;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
1.667935422201E9;15721;667935.6062218341;-835;-43;424;15724;667935.603721834;-18514;-6457;6343;0.0;0;0;0;0;98243;98243;0;0;0;0;0;10.169319;-1.4171335;0.0;0;0;0;1;0;0.0;-1;0.0;0.0;0.0;0.0;10;10;10;10;41;0;10;10
