time,gFx,gFy,gFz,TgF
0.001704,0.9905,-0.0399,0.1152,0.998
0.001999,0.9934,-0.0389,0.1152,1.001
0.002187,0.9930,-0.0399,0.1157,1.000
0.002358,0.9944,-0.0379,0.1162,1.002
0.002447,0.9939,-0.0394,0.1157,1.001
0.003915,0.9930,-0.0389,0.1162,1.000
0.006536,0.9934,-0.0360,0.1157,1.001
0.009291,0.9930,-0.0374,0.1152,1.000
0.012275,0.9930,-0.0379,0.1148,1.000
0.013695,0.9944,-0.0394,0.1128,1.002
0.016296,0.9954,-0.0408,0.1114,1.002
0.018716,0.9959,-0.0408,0.1099,1.003
0.021453,0.9954,-0.0399,0.1109,1.002
0.022912,0.9939,-0.0399,0.1118,1.001
0.025380,0.9934,-0.0413,0.1133,1.001
0.028878,0.9920,-0.0384,0.1148,0.999
0.030660,0.9881,-0.0399,0.1182,0.996
0.033041,0.9871,-0.0398,0.1196,0.995
0.035369,0.9856,-0.0383,0.1240,0.994
0.037521,0.9831,-0.0378,0.1274,0.992
0.040560,0.9812,-0.0378,0.1303,0.991
0.042305,0.9807,-0.0393,0.1333,0.990
0.045043,0.9797,-0.0402,0.1362,0.990
0.047462,0.9748,-0.0392,0.1386,0.985
0.049531,0.9733,-0.0392,0.1415,0.984
0.052556,0.9714,-0.0358,0.1424,0.982
0.054105,0.9723,-0.0383,0.1449,0.984
0.057171,0.9709,-0.0378,0.1503,0.983
0.059063,0.9718,-0.0377,0.1527,0.984
0.062207,0.9742,-0.0363,0.1522,0.987
0.063811,0.9762,-0.0358,0.1533,0.989
0.066724,0.9791,-0.0363,0.1523,0.992
0.068668,0.9815,-0.0333,0.1528,0.994
0.071757,0.9830,-0.0353,0.1503,0.995
0.072922,0.9840,-0.0358,0.1513,0.996
0.085374,0.9874,-0.0344,0.1459,0.999
0.085916,0.9879,-0.0344,0.1464,0.999
0.086066,0.9889,-0.0319,0.1440,1.000
0.086192,0.9884,-0.0319,0.1440,0.999
0.086287,0.9884,-0.0305,0.1430,0.999
0.087644,0.9864,-0.0295,0.1434,0.997
0.090655,0.9859,-0.0290,0.1444,0.997
0.092571,0.9840,-0.0271,0.1430,0.995
0.095484,0.9855,-0.0290,0.1444,0.996
0.097441,0.9845,-0.0300,0.1454,0.996
0.099587,0.9820,-0.0290,0.1454,0.993
0.102288,0.9796,-0.0290,0.1453,0.991
0.104914,0.9782,-0.0309,0.1439,0.989
0.107364,0.9772,-0.0305,0.1449,0.988
0.108874,0.9762,-0.0314,0.1444,0.987
0.112482,0.9762,-0.0300,0.1449,0.987
0.113753,0.9767,-0.0309,0.1444,0.988
0.116755,0.9806,-0.0314,0.1449,0.992
0.118479,0.9820,-0.0314,0.1454,0.993
0.121596,0.9825,-0.0334,0.1439,0.994
0.124101,0.9869,-0.0319,0.1434,0.998
0.125529,0.9894,-0.0300,0.1425,1.000
0.128889,0.9923,-0.0305,0.1425,1.003
0.130274,0.9952,-0.0295,0.1406,1.006
0.133579,0.9952,-0.0309,0.1411,1.006
0.135029,0.9977,-0.0290,0.1406,1.008
0.138141,0.9981,-0.0290,0.1420,1.009
0.139651,0.9986,-0.0285,0.1450,1.009
0.142197,0.9991,-0.0275,0.1445,1.010
0.145605,1.0000,-0.0290,0.1479,1.011
0.147140,0.9995,-0.0294,0.1519,1.011
0.149924,0.9975,-0.0280,0.1524,1.009
0.152879,0.9975,-0.0265,0.1543,1.010
0.154095,0.9966,-0.0284,0.1572,1.009
0.157181,0.9966,-0.0294,0.1572,1.009
0.159229,0.9951,-0.0284,0.1587,1.008
